診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
00168C,一般門診診察費—基層院所門診診察費 6.山地離島地區（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑(≦50),,561,113.04.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00169C,一般門診診察費—基層院所門診診察費 6.山地離島地區 （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑(≦50),,536,113.04.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00170A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,520,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00171A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,497,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00172B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,520,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00173B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,497,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00174B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,520,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00175B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,497,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00176B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,542,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00177B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,520,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00178B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（2)開具慢性病連續處方並交付特約藥局調劑,,365,110.06.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.內含護理照護費比率為百分之八點七至百分之十一點五。5.基層院所精神科門診診察費限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。6.基層院所精神科每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以日計；每月實際看診日數二十五日以上者(含二十五日,
00179B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45) 1.醫院（4）開具慢性病連續處方並由本院所自行調劑,,341,110.06.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.內含護理照護費比率為百分之八點七至百分之十一點五。5.基層院所精神科門診診察費限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。6.基層院所精神科每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以日計；每月實際看診日數二十五日以上者(含二十五日,
00180B,精神科門診診察費 － 每位醫師每日門診量在四十五人次以下部分(≦45)1.醫院（5)開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,567,110.06.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.內含護理照護費比率為百分之八點七至百分之十一點五。5.基層院所精神科門診診察費限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。6.基層院所精神科每月看診日數計算方式：每月實際看診日數不足二十五日(不含二十五日)，應以日計；每月實際看診日數二十五日以上者(含二十五日,
